Date,Time,Open,High,Low,Close,Volume
20180103,000000,1920.0000000,1949.5000000,1915.0000000,1943.5000000,33127
20180104,000000,1949.5000000,1985.0000000,1943.0000000,1978.0000000,38178
20180105,000000,1965.0000000,1965.5000000,1921.0000000,1942.5000000,23213
20180109,000000,1960.0000000,1982.0000000,1954.0000000,1963.0000000,42713
20180110,000000,1969.0000000,1980.0000000,1931.5000000,1972.0000000,44374
20180111,000000,1963.5000000,1985.0000000,1955.0000000,1963.0000000,40478
20180112,000000,1955.0000000,1968.0000000,1945.5000000,1955.0000000,17647
20180115,000000,1956.0000000,1979.0000000,1954.5000000,1970.0000000,14687
20180116,000000,1964.0000000,2044.0000000,1940.5000000,1992.5000000,118550
20180117,000000,1993.0000000,2046.5000000,1981.0000000,2035.0000000,45442
20180118,000000,2051.5000000,2100.0000000,2045.0000000,2099.0000000,83619
20180119,000000,2112.0000000,2134.0000000,2090.5000000,2098.5000000,48107
20180122,000000,2098.0000000,2122.5000000,2080.5000000,2118.5000000,38349
20180123,000000,2132.5000000,2145.0000000,2111.5000000,2145.0000000,59496
20180124,000000,2150.0000000,2158.0000000,2129.5000000,2138.0000000,18971
20180125,000000,2134.0000000,2155.0000000,2105.0000000,2134.0000000,44055
20180126,000000,2137.0000000,2179.5000000,2134.0000000,2176.0000000,47179
20180129,000000,2199.5000000,2214.5000000,2178.5000000,2197.5000000,29552
20180130,000000,2176.0000000,2176.0000000,2120.0000000,2150.0000000,136698
20180131,000000,2160.5000000,2196.5000000,2133.5000000,2179.0000000,29158
20180201,000000,2172.0000000,2229.0000000,2168.0000000,2202.0000000,67861
20180202,000000,2193.0000000,2224.5000000,2115.5000000,2150.0000000,49846
20180205,000000,2140.5000000,2172.0000000,2113.5000000,2150.0000000,39726
20180206,000000,2071.0000000,2130.0000000,2048.5000000,2054.5000000,114144
20180207,000000,2106.0000000,2174.0000000,2100.5000000,2140.5000000,48058
20180208,000000,2126.5000000,2187.0000000,2125.5000000,2159.0000000,60895
20180209,000000,2090.0000000,2107.0000000,2062.0000000,2086.5000000,80483
20180212,000000,2109.0000000,2135.0000000,2102.0000000,2127.0000000,47944
20180213,000000,2119.5000000,2141.5000000,2111.0000000,2135.0000000,70378
20180214,000000,2155.0000000,2220.5000000,2144.0000000,2200.0000000,94995
20180215,000000,2230.5000000,2420.0000000,2211.0000000,2283.5000000,381640
20180216,000000,2341.0000000,2374.0000000,2291.5000000,2371.5000000,133549
20180219,000000,2367.5000000,2430.0000000,2361.0000000,2416.5000000,47577
20180220,000000,2420.0000000,2439.0000000,2376.5000000,2413.0000000,54816
20180221,000000,2429.5000000,2474.5000000,2418.0000000,2473.5000000,86040
20180222,000000,2469.5000000,2494.0000000,2410.5000000,2435.5000000,73258
20180226,000000,2449.0000000,2450.0000000,2362.0000000,2383.0000000,81045
20180227,000000,2362.0000000,2391.0000000,2320.5000000,2386.0000000,68500
20180228,000000,2362.5000000,2385.0000000,2327.0000000,2343.5000000,35038
20180301,000000,2329.5000000,2344.5000000,2300.5000000,2310.0000000,49309
20180302,000000,2307.0000000,2310.0000000,2241.0000000,2280.5000000,90805
20180305,000000,2316.0000000,2372.0000000,2313.5000000,2347.5000000,46502
